,date,year,co2_pg,ch4_tg,n2o_tg,co2_forcing_rcp,ch4_forcing_rcp,n2o_forcing_rcp,total_forcing_rcp,rcp_co2_ppm,rcp_ch4_ppb,rcp_n2o_ppb,co2_pg_atm,ch4_tg_atm,n2o_tg_atm,ch4_co2_decay_marginal,co2_ppm,ch4_ppb,n2o_ppb,co2_forcing,ch4_forcing,n2o_forcing,total_forcing_ghg,rcp_nonghg_forcing,total_forcing,t_os,t_eq,t_s
0,0.0,1765.0,0.01101,0.0,0.0,0.0,0.0,0.0,0.0,278.05158,721.89411,272.95961,0.0,0.0,0.0,0.0,278.05158,721.89411,272.95961,0.01998851471541969,0.0,0.0,0.01998851471541969,0.0,0.01998851471541969,0.0015439983884551827,0.01599081177233575,0.005733574269780548
1,1.0,1766.0,0.030601547420999995,1.9632619,0.008155750770989505,0.011049082,0.00357577,0.0007386611999999999,0.016318812,278.10615,722.2557,272.97121,0.009631266488808769,0.0,0.0,0.0,278.0527957926846,721.89411,272.95961,0.020011907773074586,0.0,0.0,0.020011907773074586,0.0009552987999999971,0.020967206573074583,0.0026711120433991816,0.016773765258459666,0.006760881475766723
2,2.0,1767.0,0.050193096310000004,2.4364481,0.015894598792353824,0.023246047,0.007360738,0.0015163651,0.033547871,278.22039,722.97082,272.99419,0.03569691867048623,1.7764328285243722,0.008084521961354457,0.0,278.05608616257297,722.5093887574551,272.96063054103377,0.02007521724168447,0.0003642315176751435,3.4967939916602516e-06,0.02044294555335127,0.0014247209000000025,0.021867666453351274,0.0036159495541604157,0.01749413316268102,0.007640622800631391
3,3.0,1768.0,0.06978464263,2.911105,0.02363385765827801,0.025605215,0.007773127199999999,0.0015938079,0.03516955,278.34305,723.66792,273.01678,0.07724042472699205,3.811972301858929,0.02376969745530917,0.0,278.0613303628881,723.2144107418463,272.9626105424847,0.02017611849330269,0.0007813912326327146,1.0281075676449868e-05,0.020967790801611853,0.00019739989999999902,0.021165190701611852,0.00443947813095546,0.016932152561289483,0.008062353715752327
4,4.0,1769.0,0.08937618894999999,3.3872782,0.03137354072317413,0.028057033,0.0081723731,0.0016700562,0.036621026,278.47058,724.34313,273.03903,0.13366823205453293,6.0832919070701985,0.04698955290851482,0.0,278.0684534671482,724.00109666773,272.9655416762489,0.020313167825675292,0.001246622269395065,2.032427348164223e-05,0.021580114368552,-0.001278436299999998,0.020301678068552,0.005058169758052316,0.0162413424548416,0.008301289840121209
5,5.0,1770.0,0.10896773894,3.8650146,0.03911366055590062,0.03055287,0.008557785699999999,0.0017452284,0.038122043,278.60047000000003,724.9952599999998,273.06096,0.2045517993021907,8.56932620300994,0.07767870417013754,0.0,278.07740137889147,724.8621503861907,272.9694156886276,0.020485321685723847,0.00175553242055528,3.3598053989188357e-05,0.022274452160268313,-0.002733841099999995,0.019540611060268318,0.00551761208261391,0.015632488848214655,0.008450926344638126
6,6.0,1771.0,0.13222928489299998,4.3443625,0.046854232867530515,0.033093627,0.008932072,0.0018193127,0.039303678,278.73275,725.62885,273.08257000000003,0.2895419416774199,11.251056827174693,0.11577235058540392,0.0,278.08813001914683,725.7909847669627,272.97422439957904,0.02069172867117336,0.002304151526112597,5.007431986200683e-05,0.02304595451714796,-0.004541333699999997,0.018504620817147963,0.005865544923824892,0.014803696653718371,0.008457608925494001
7,7.0,1772.0,0.151820831213,4.8253718,0.05459526865581495,0.035705793,0.0092985859,0.0018922835,0.040576622,278.86881,726.24956,273.10386,0.39154194728772024,14.111318957188853,0.1612062730143699,0.0,278.10100588140165,726.7816546651388,272.9799597024684,0.020939435282572097,0.0028888926345035206,6.972520947234106e-05,0.02389805312654796,-0.006320040400000004,0.017578012726547954,0.006104923859987829,0.014062410181238364,0.008412594893150483
8,8.0,1773.0,0.171412381203,5.308093799999999,0.06233678520293425,0.038397133,0.0096580629,0.0019642574,0.042338505,279.00907,726.85863,273.12486,0.5068252606439312,17.13462637088018,0.2139168240810633,0.0,278.11555854788605,727.8287963296204,272.98661356283685,0.021219386548637954,0.003506516659510809,9.252309315367524e-05,0.02481842630130244,-0.007680948300000004,0.017137478001302435,0.0062668960638690655,0.013709982401041949,0.008425391101649202
9,9.0,1774.0,0.191003927523,5.7925816,0.07007879350663954,0.041160901,0.010009802,0.0020354403,0.044211576,279.15318,727.45484,273.14563,0.6352270829166422,20.30701297312277,0.2738409294094877,0.0,278.1317672153951,728.9275725149358,272.9941780185576,0.021531177247420867,0.00415410017187386,0.00011844057419991836,0.025803717993494645,-0.008994567299999992,0.016809150693494652,0.006402628594246265,0.013447320554795722,0.008445589262805607
